logp	R	ID
-0.86489	-0.527	246
-0.86444	-0.527	247
-0.8628	-0.526	248
-0.86015	-0.525	249
-0.86059	-0.525	250
-0.86119	-0.525	251
-0.86037	-0.525	252
-0.85894	-0.524	253
-0.85924	-0.524	254
-0.85759	-0.523	255
-0.8575	-0.523	256
-0.85649	-0.523	257
-0.85752	-0.523	258
-0.85693	-0.523	259
-0.85767	-0.523	260
-0.85587	-0.522	261
-0.85599	-0.522	262
-0.85499	-0.522	263
-0.85566	-0.522	264
-0.85577	-0.522	265
-0.85522	-0.522	266
-0.85293	-0.521	267
-0.85379	-0.521	268
-0.85162	-0.52	269
-0.85255	-0.52	270
-0.85005	-0.519	271
-0.85056	-0.519	272
-0.85014	-0.519	273
-0.85034	-0.519	274
-0.84917	-0.519	275
-0.85027	-0.519	276
-0.84999	-0.519	277
-0.84782	-0.518	278
-0.84862	-0.518	279
-0.84793	-0.518	280
-0.84669	-0.517	281
-0.84578	-0.517	282
-0.84638	-0.517	283
-0.84506	-0.516	284
-0.84389	-0.516	285
-0.84521	-0.516	286
-0.84434	-0.516	287
-0.84415	-0.516	288
-0.84254	-0.515	289
-0.8431	-0.515	290
-0.84358	-0.515	291
-0.84219	-0.515	292
-0.84324	-0.515	293
-0.84359	-0.515	294
-0.84146	-0.514	295
-0.84111	-0.514	296
-0.84103	-0.514	297
-0.83983	-0.513	298
-0.83949	-0.513	299
-0.83932	-0.513	300
-0.83867	-0.513	301
-0.83858	-0.513	302
-0.83993	-0.513	303
-0.83866	-0.513	304
-0.83815	-0.512	305
-0.83627	-0.511	306
-0.83599	-0.511	307
-0.83505	-0.511	308
-0.83608	-0.511	309
-0.83631	-0.511	310
-0.83423	-0.51	311
-0.83103	-0.509	312
-0.83272	-0.509	313
-0.83191	-0.509	314
-0.83088	-0.508	315
-0.8297	-0.508	316
-0.83082	-0.508	317
-0.82818	-0.507	318
-0.82786	-0.507	319
-0.82903	-0.507	320
-0.82915	-0.507	321
-0.82718	-0.506	322
-0.82702	-0.506	323
-0.82682	-0.506	324
-0.82432	-0.505	325
-0.82389	-0.505	326
-0.82386	-0.505	327
-0.82317	-0.504	328
-0.82303	-0.504	329
-0.82262	-0.504	330
-0.82178	-0.503	331
-0.82142	-0.503	332
-0.82162	-0.503	333
-0.82125	-0.503	334
-0.82026	-0.503	335
-0.82145	-0.503	336
-0.81782	-0.501	337
-0.81561	-0.5	338
-0.81304	-0.499	339
-0.81161	-0.498	340
-0.81266	-0.498	341
-0.81124	-0.498	342
-0.80952	-0.497	343
-0.81041	-0.497	344
-0.81089	-0.497	345
-0.80928	-0.497	346
-0.80906	-0.496	347
-0.80751	-0.496	348
-0.80751	-0.496	349
-0.80661	-0.495	350
-0.80726	-0.495	351
-0.80441	-0.494	352
-0.80485	-0.494	353
-0.80213	-0.493	354
-0.80205	-0.493	355
-0.79946	-0.491	356
-0.79852	-0.491	357
-0.79916	-0.491	358
-0.7988	-0.491	359
-0.79957	-0.491	360
-0.79998	-0.491	361
-0.79682	-0.49	362
-0.7965	-0.49	363
-0.79802	-0.49	364
-0.79795	-0.49	365
-0.79569	-0.489	366
-0.79593	-0.489	367
-0.79461	-0.489	368
-0.79501	-0.489	369
-0.79482	-0.489	370
-0.7939	-0.488	371
-0.79335	-0.488	372
-0.79086	-0.487	373
-0.79243	-0.487	374
-0.79114	-0.487	375
-0.79129	-0.487	376
-0.79246	-0.487	377
-0.79203	-0.487	378
-0.79161	-0.487	379
-0.78999	-0.486	380
-0.78964	-0.486	381
-0.78899	-0.486	382
-0.78769	-0.485	383
-0.78738	-0.485	384
-0.78824	-0.485	385
-0.78773	-0.485	386
-0.78877	-0.485	387
-0.786	-0.484	388
-0.78635	-0.484	389
-0.78702	-0.484	390
-0.78393	-0.483	391
-0.7834	-0.482	392
-0.78225	-0.482	393
-0.78175	-0.482	394
-0.7832	-0.482	395
-0.78151	-0.481	396
-0.78003	-0.481	397
-0.78095	-0.481	398
-0.77952	-0.48	399
-0.77792	-0.48	400
-0.77907	-0.48	401
-0.77826	-0.48	402
-0.77939	-0.48	403
-0.77876	-0.48	404
-0.77767	-0.479	405
-0.77639	-0.479	406
-0.77504	-0.478	407
-0.7738	-0.477	408
-0.77314	-0.477	409
-0.77326	-0.477	410
-0.77263	-0.477	411
-0.77267	-0.477	412
-0.77175	-0.476	413
-0.77095	-0.476	414
-0.76845	-0.474	415
-0.76802	-0.474	416
-0.76823	-0.474	417
-0.767	-0.474	418
-0.76761	-0.474	419
-0.7649	-0.473	420
-0.76516	-0.473	421
-0.76635	-0.473	422
-0.76445	-0.472	423
-0.76212	-0.471	424
-0.761	-0.471	425
-0.76199	-0.471	426
-0.75929	-0.47	427
-0.75974	-0.47	428
-0.75923	-0.47	429
-0.75734	-0.469	430
-0.75906	-0.469	431
-0.75861	-0.469	432
-0.75784	-0.469	433
-0.75906	-0.469	434
-0.75598	-0.468	435
-0.75629	-0.468	436
-0.75716	-0.468	437
-0.75476	-0.467	438
-0.75229	-0.466	439
-0.753	-0.466	440
-0.75316	-0.466	441
-0.7483	-0.464	442
-0.74789	-0.464	443
-0.74669	-0.463	444
-0.74725	-0.463	445
-0.74697	-0.463	446
-0.74699	-0.463	447
-0.74448	-0.462	448
-0.74494	-0.462	449
-0.74555	-0.462	450
