N-Ctl	N-Mlk	N-Fat	H-Ctl	H-Mlk	H-Fat
31.6	29.8	31.2	29.9	35.4	35.6
30.3	22.9	33.8	35.3	46.2	53.2
35.3	28.3	31.6	50.2	37.2	52.3
33.6	30.2	33.8	37.3	31.6	50.8
25.9	29.6	32.7	52.4	55.1	53.5
24.2	26.8	34.7	50.1	55.1	59.4
27.6	27.9	30.1	22.7	50	51.7
28.7	32.4	27.5	54.3	53.5	40
26.6	23.8	34.3	48.1	56.5	41.1
23.9	23.4	34.5	52.3	45.3	42
