2层全连接

Epoch[4000/5000], loss_on_train:0.228642,loss_on_tesgt:2.889989,r2_on_train:-0.000075,r2_on_test:-0.607794
Epoch[4200/5000], loss_on_train:0.228642,loss_on_tesgt:2.887150,r2_on_train:0.000019,r2_on_test:-0.602944
Epoch[4400/5000], loss_on_train:0.228642,loss_on_tesgt:2.889243,r2_on_train:0.000065,r2_on_test:-0.606334
Epoch[4600/5000], loss_on_train:0.228642,loss_on_tesgt:2.887859,r2_on_train:-0.000251,r2_on_test:-0.604059
Epoch[4800/5000], loss_on_train:0.228642,loss_on_tesgt:2.889179,r2_on_train:0.000317,r2_on_test:-0.605590
Epoch[5000/5000], loss_on_train:0.228642,loss_on_tesgt:2.887704,r2_on_train:-0.000103,r2_on_test:-0.603899
now returning  2
(93, 4015)
now analysis on  2
 using gpu..
Epoch[200/5000], loss_on_train:0.304970,loss_on_tesgt:5.537938,r2_on_train:-0.120316,r2_on_test:-2.150277
Epoch[400/5000], loss_on_train:0.287404,loss_on_tesgt:4.380361,r2_on_train:-0.099823,r2_on_test:-1.415634
Epoch[600/5000], loss_on_train:0.273696,loss_on_tesgt:5.205799,r2_on_train:-0.032983,r2_on_test:-1.533422
Epoch[800/5000], loss_on_train:0.271587,loss_on_tesgt:5.155022,r2_on_train:-0.020843,r2_on_test:-1.491232
Epoch[1000/5000], loss_on_train:0.269010,loss_on_tesgt:5.008716,r2_on_train:-0.007295,r2_on_test:-1.418273
Epoch[1200/5000], loss_on_train:0.269148,loss_on_tesgt:5.039037,r2_on_train:-0.005689,r2_on_test:-1.427788
Epoch[1400/5000], loss_on_train:0.268551,loss_on_tesgt:4.952734,r2_on_train:-0.001676,r2_on_test:-1.391531
Epoch[1600/5000], loss_on_train:0.268623,loss_on_tesgt:4.988883,r2_on_train:-0.001641,r2_on_test:-1.398110
Epoch[1800/5000], loss_on_train:0.268517,loss_on_tesgt:4.915645,r2_on_train:0.000131,r2_on_test:-1.362623
Epoch[2000/5000], loss_on_train:0.268469,loss_on_tesgt:4.927968,r2_on_train:0.000327,r2_on_test:-1.364033
Epoch[2200/5000], loss_on_train:0.268450,loss_on_tesgt:4.951380,r2_on_train:0.000023,r2_on_test:-1.371297
Epoch[2400/5000], loss_on_train:0.268441,loss_on_tesgt:4.935567,r2_on_train:0.000451,r2_on_test:-1.362396
Epoch[2600/5000], loss_on_train:0.268434,loss_on_tesgt:4.939471,r2_on_train:0.000068,r2_on_test:-1.361485
Epoch[2800/5000], loss_on_train:0.268429,loss_on_tesgt:4.942217,r2_on_train:0.000080,r2_on_test:-1.361749
Epoch[3000/5000], loss_on_train:0.268428,loss_on_tesgt:4.945503,r2_on_train:0.000012,r2_on_test:-1.360249
Epoch[3200/5000], loss_on_train:0.268427,loss_on_tesgt:4.944768,r2_on_train:0.000025,r2_on_test:-1.359322
Epoch[3400/5000], loss_on_train:0.268426,loss_on_tesgt:4.943454,r2_on_train:-0.000072,r2_on_test:-1.358579
Epoch[3600/5000], loss_on_train:0.268426,loss_on_tesgt:4.941308,r2_on_train:0.000260,r2_on_test:-1.357654
Epoch[3800/5000], loss_on_train:0.268426,loss_on_tesgt:4.941636,r2_on_train:0.000118,r2_on_test:-1.358123
Epoch[4000/5000], loss_on_train:0.268426,loss_on_tesgt:4.942420,r2_on_train:0.000107,r2_on_test:-1.357918
Epoch[4200/5000], loss_on_train:0.268426,loss_on_tesgt:4.943473,r2_on_train:-0.000080,r2_on_test:-1.359757
Epoch[4400/5000], loss_on_train:0.268426,loss_on_tesgt:4.944899,r2_on_train:0.000242,r2_on_test:-1.357936
Epoch[4600/5000], loss_on_train:0.268426,loss_on_tesgt:4.943813,r2_on_train:0.000042,r2_on_test:-1.358048
Epoch[4800/5000], loss_on_train:0.268426,loss_on_tesgt:4.943049,r2_on_train:0.000156,r2_on_test:-1.356992
Epoch[5000/5000], loss_on_train:0.268426,loss_on_tesgt:4.942334,r2_on_train:0.000109,r2_on_test:-1.358465
now returning  3
(93, 4015)
now analysis on  3
 using gpu..
Epoch[200/5000], loss_on_train:0.075426,loss_on_tesgt:1.557751,r2_on_train:-0.020304,r2_on_test:-0.648803
Epoch[400/5000], loss_on_train:0.074252,loss_on_tesgt:1.609428,r2_on_train:-0.011111,r2_on_test:-0.554762
Epoch[600/5000], loss_on_train:0.074375,loss_on_tesgt:1.630276,r2_on_train:-0.010173,r2_on_test:-0.549967
Epoch[800/5000], loss_on_train:0.074035,loss_on_tesgt:1.624039,r2_on_train:-0.004680,r2_on_test:-0.514472
Epoch[1000/5000], loss_on_train:0.073882,loss_on_tesgt:1.621218,r2_on_train:-0.002460,r2_on_test:-0.504444
Epoch[1200/5000], loss_on_train:0.073806,loss_on_tesgt:1.619059,r2_on_train:-0.000740,r2_on_test:-0.495370
Epoch[1400/5000], loss_on_train:0.073623,loss_on_tesgt:1.591748,r2_on_train:0.000749,r2_on_test:-0.478411
Epoch[1600/5000], loss_on_train:0.073609,loss_on_tesgt:1.595526,r2_on_train:0.000799,r2_on_test:-0.477899
Epoch[1800/5000], loss_on_train:0.073612,loss_on_tesgt:1.592344,r2_on_train:0.000214,r2_on_test:-0.477385
Epoch[2000/5000], loss_on_train:0.073605,loss_on_tesgt:1.598512,r2_on_train:0.000297,r2_on_test:-0.480000
Epoch[2200/5000], loss_on_train:0.073606,loss_on_tesgt:1.599136,r2_on_train:0.000158,r2_on_test:-0.480610
Epoch[2400/5000], loss_on_train:0.073604,loss_on_tesgt:1.595253,r2_on_train:0.000018,r2_on_test:-0.479620
Epoch[2600/5000], loss_on_train:0.073603,loss_on_tesgt:1.596441,r2_on_train:0.000129,r2_on_test:-0.480510
Epoch[2800/5000], loss_on_train:0.073603,loss_on_tesgt:1.596703,r2_on_train:0.000014,r2_on_test:-0.480752
Epoch[3000/5000], loss_on_train:0.073603,loss_on_tesgt:1.596483,r2_on_train:-0.000035,r2_on_test:-0.481082
Epoch[3200/5000], loss_on_train:0.073603,loss_on_tesgt:1.596690,r2_on_train:0.000064,r2_on_test:-0.480941
Epoch[3400/5000], loss_on_train:0.073603,loss_on_tesgt:1.596508,r2_on_train:-0.000019,r2_on_test:-0.481031
Epoch[3600/5000], loss_on_train:0.073603,loss_on_tesgt:1.597184,r2_on_train:-0.000053,r2_on_test:-0.481894
Epoch[3800/5000], loss_on_train:0.073603,loss_on_tesgt:1.596667,r2_on_train:0.000009,r2_on_test:-0.481292
Epoch[4000/5000], loss_on_train:0.073603,loss_on_tesgt:1.596552,r2_on_train:0.000218,r2_on_test:-0.480819
Epoch[4200/5000], loss_on_train:0.073603,loss_on_tesgt:1.597017,r2_on_train:0.000144,r2_on_test:-0.481628
