N-Ctl	N-Mlk	N-Fat	H-Ctl	H-Mlk	H-Fat
1.74	1.82	1.92	1.72	2.57	2.68
1.73	1.61	1.54	0.6	2.03	2.1
1.8	1.91	2.17	1.31	1.96	2.39
1.51	2.08	2.05	0.3	2.28	1.99
1.36	1.52	2.13	1.62	2.74	2.86
1.7	2.21	1.8	0.92	1.81	2.84
1.61	2.36	1.83	1.24	2.5	3.17
1.74	2.02	2.23	0.88	2.61	2.98
1.67	1.97	2.12	1.21	2.67	2.26
1.77	2.25	1.79	0.78	2.94	3.1
